ID,DATE,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,ELEVATION,PRCP
US1COJF00012013-07-03 00:00:00,2013-07-03,2013,7,3,39.5884,-105.075,1692.9,0.0
US1COJF00012013-07-04 00:00:00,2013-07-04,2013,7,4,39.5884,-105.075,1692.9,0.0
US1COJF00012013-07-07 00:00:00,2013-07-07,2013,7,7,39.5884,-105.075,1692.9,0.0
US1COJF00012013-07-09 00:00:00,2013-07-09,2013,7,9,39.5884,-105.075,1692.9,0.0
US1COJF00012013-07-10 00:00:00,2013-07-10,2013,7,10,39.5884,-105.075,1692.9,0.0
US1COJF00012013-07-16 00:00:00,2013-07-16,2013,7,16,39.5884,-105.075,1692.9,0.0
US1COJF00012013-07-17 00:00:00,2013-07-17,2013,7,17,39.5884,-105.075,1692.9,0.0
US1COJF00012013-07-18 00:00:00,2013-07-18,2013,7,18,39.5884,-105.075,1692.9,0.0
US1COJF00012013-07-19 00:00:00,2013-07-19,2013,7,19,39.5884,-105.075,1692.9,0.0
US1COJF00012013-07-20 00:00:00,2013-07-20,2013,7,20,39.5884,-105.075,1692.9,0.0
US1COJF00012013-07-21 00:00:00,2013-07-21,2013,7,21,39.5884,-105.075,1692.9,0.0
US1COJF00012013-07-22 00:00:00,2013-07-22,2013,7,22,39.5884,-105.075,1692.9,0.0
US1COJF00012013-07-23 00:00:00,2013-07-23,2013,7,23,39.5884,-105.075,1692.9,0.0
US1COJF00012013-07-24 00:00:00,2013-07-24,2013,7,24,39.5884,-105.075,1692.9,0.0
US1COJF00012013-07-26 00:00:00,2013-07-26,2013,7,26,39.5884,-105.075,1692.9,0.0
US1COJF00012013-07-27 00:00:00,2013-07-27,2013,7,27,39.5884,-105.075,1692.9,0.0
US1COJF00012013-08-01 00:00:00,2013-08-01,2013,8,1,39.5884,-105.075,1692.9,0.0
US1COJF00012013-08-02 00:00:00,2013-08-02,2013,8,2,39.5884,-105.075,1692.9,0.0
US1COJF00012013-08-05 00:00:00,2013-08-05,2013,8,5,39.5884,-105.075,1692.9,0.0
US1COJF00012013-08-12 00:00:00,2013-08-12,2013,8,12,39.5884,-105.075,1692.9,0.0
US1COJF00012013-08-14 00:00:00,2013-08-14,2013,8,14,39.5884,-105.075,1692.9,0.0
US1COJF00012013-08-15 00:00:00,2013-08-15,2013,8,15,39.5884,-105.075,1692.9,0.0
US1COJF00012013-08-16 00:00:00,2013-08-16,2013,8,16,39.5884,-105.075,1692.9,0.0
US1COJF00012013-08-17 00:00:00,2013-08-17,2013,8,17,39.5884,-105.075,1692.9,0.0
US1COJF00012013-08-18 00:00:00,2013-08-18,2013,8,18,39.5884,-105.075,1692.9,0.0
US1COJF00012013-08-20 00:00:00,2013-08-20,2013,8,20,39.5884,-105.075,1692.9,0.0
US1COJF00012013-08-21 00:00:00,2013-08-21,2013,8,21,39.5884,-105.075,1692.9,0.0
US1COJF00012013-08-22 00:00:00,2013-08-22,2013,8,22,39.5884,-105.075,1692.9,0.0
US1COJF00012013-08-28 00:00:00,2013-08-28,2013,8,28,39.5884,-105.075,1692.9,0.0
US1COJF00012013-08-29 00:00:00,2013-08-29,2013,8,29,39.5884,-105.075,1692.9,0.0
US1COJF00012013-08-30 00:00:00,2013-08-30,2013,8,30,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-01 00:00:00,2013-09-01,2013,9,1,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-02 00:00:00,2013-09-02,2013,9,2,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-03 00:00:00,2013-09-03,2013,9,3,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-05 00:00:00,2013-09-05,2013,9,5,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-06 00:00:00,2013-09-06,2013,9,6,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-15 00:00:00,2013-09-15,2013,9,15,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-17 00:00:00,2013-09-17,2013,9,17,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-18 00:00:00,2013-09-18,2013,9,18,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-19 00:00:00,2013-09-19,2013,9,19,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-21 00:00:00,2013-09-21,2013,9,21,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-22 00:00:00,2013-09-22,2013,9,22,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-24 00:00:00,2013-09-24,2013,9,24,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-25 00:00:00,2013-09-25,2013,9,25,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-26 00:00:00,2013-09-26,2013,9,26,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-27 00:00:00,2013-09-27,2013,9,27,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-29 00:00:00,2013-09-29,2013,9,29,39.5884,-105.075,1692.9,0.0
US1COJF00012013-09-30 00:00:00,2013-09-30,2013,9,30,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-01 00:00:00,2013-10-01,2013,10,1,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-02 00:00:00,2013-10-02,2013,10,2,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-03 00:00:00,2013-10-03,2013,10,3,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-04 00:00:00,2013-10-04,2013,10,4,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-06 00:00:00,2013-10-06,2013,10,6,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-07 00:00:00,2013-10-07,2013,10,7,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-08 00:00:00,2013-10-08,2013,10,8,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-09 00:00:00,2013-10-09,2013,10,9,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-10 00:00:00,2013-10-10,2013,10,10,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-11 00:00:00,2013-10-11,2013,10,11,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-12 00:00:00,2013-10-12,2013,10,12,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-13 00:00:00,2013-10-13,2013,10,13,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-17 00:00:00,2013-10-17,2013,10,17,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-18 00:00:00,2013-10-18,2013,10,18,39.5884,-105.075,1692.9,1.5
US1COJF00012013-10-19 00:00:00,2013-10-19,2013,10,19,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-20 00:00:00,2013-10-20,2013,10,20,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-22 00:00:00,2013-10-22,2013,10,22,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-23 00:00:00,2013-10-23,2013,10,23,39.5884,-105.075,1692.9,0.0
US1COJF00012013-10-24 00:00:00,2013-10-24,2013,10,24,39.5884,-105.075,1692.9,0.0
